연도,분기,지역,평균
2018,1,경기,1.786666667
2018,2,경기,1.813333333
2018,3,경기,1.466666667
2018,4,경기,1.26
2019,1,경기,1.493333333
2019,2,경기,1.613333333
2019,3,경기,1.386666667
2019,4,경기,1.233333333
2020,1,경기,1.48
2020,2,경기,1.673333333
2020,3,경기,1.44
2020,4,경기,1.233333333
2021,1,경기,1.586666667
2021,2,경기,1.513333333
2021,3,경기,1.246666667
2021,4,경기,1.226666667
2022,1,경기,1.513333333
2022,2,경기,1.66
2022,3,경기,1.213333333
2022,4,경기,1.04
2023,1,경기,1.26
2023,2,경기,1.446666667
2023,3,경기,1.2
2023,4,경기,1.28
2018,1,서울,2
2018,2,서울,1.8
2018,3,서울,1.6
2018,4,서울,1.566666667
2019,1,서울,1.9
2019,2,서울,1.9
2019,3,서울,1.866666667
2019,4,서울,2.133333333
2020,1,서울,2.3
2020,2,서울,2.566666667
2020,3,서울,2.4
2020,4,서울,2.166666667
2021,1,서울,2.5
2021,2,서울,2.4
2021,3,서울,2.133333333
2021,4,서울,2.166666667
2022,1,서울,2.433333333
2022,2,서울,2.6
2022,3,서울,2.266666667
2022,4,서울,2.2
2023,1,서울,2.333333333
2023,2,서울,2.333333333
2023,3,서울,2.1
2023,4,서울,2.3
2018,1,강원,2.045238095
2018,2,강원,1.942857143
2018,3,강원,1.538095238
2018,4,강원,1.50952381
2019,1,강원,1.74047619
2019,2,강원,1.771428571
2019,3,강원,1.461904762
2019,4,강원,1.485714286
2020,1,강원,1.75
2020,2,강원,1.878571429
2020,3,강원,1.54047619
2020,4,강원,1.528571429
2021,1,강원,1.854761905
2021,2,강원,1.661904762
2021,3,강원,1.295238095
2021,4,강원,1.573809524
2022,1,강원,1.728571429
2022,2,강원,1.811904762
2022,3,강원,1.285714286
2022,4,강원,1.430952381
2023,1,강원,1.519047619
2023,2,강원,1.657142857
2023,3,강원,1.269047619
2023,4,강원,1.595238095
2018,1,충북,2
2018,2,충북,1.966666667
2018,3,충북,1.653333333
2018,4,충북,1.446666667
2019,1,충북,1.806666667
2019,2,충북,1.733333333
2019,3,충북,1.486666667
2019,4,충북,1.353333333
2020,1,충북,1.66
2020,2,충북,1.86
2020,3,충북,1.406666667
2020,4,충북,1.433333333
2021,1,충북,1.786666667
2021,2,충북,1.666666667
2021,3,충북,1.353333333
2021,4,충북,1.433333333
2022,1,충북,1.72
2022,2,충북,1.66
2022,3,충북,1.386666667
2022,4,충북,1.313333333
2023,1,충북,1.493333333
2023,2,충북,1.623529412
2023,3,충북,1.294444444
2023,4,충북,1.494444444
2018,1,충남,1.655555556
2018,2,충남,1.744444444
2018,3,충남,1.477777778
2018,4,충남,1.222222222
2019,1,충남,1.427777778
2019,2,충남,1.505555556
2019,3,충남,1.461111111
2019,4,충남,1.227777778
2020,1,충남,1.427777778
2020,2,충남,1.666666667
2020,3,충남,1.522222222
2020,4,충남,1.194444444
2021,1,충남,1.572222222
2021,2,충남,1.594444444
2021,3,충남,1.361111111
2021,4,충남,1.216666667
2022,1,충남,1.45
2022,2,충남,1.794444444
2022,3,충남,1.472222222
2022,4,충남,1.176470588
2023,1,충남,1.405555556
2023,2,충남,1.588888889
2023,3,충남,1.311111111
2023,4,충남,1.422222222
2018,1,경남,1.778571429
2018,2,경남,1.702380952
2018,3,경남,28.36060976
2018,4,경남,1.330952381
2019,1,경남,1.678571429
2019,2,경남,1.50952381
2019,3,경남,1.407142857
2019,4,경남,1.354761905
2020,1,경남,1.638095238
2020,2,경남,1.680952381
2020,3,경남,1.4
2020,4,경남,1.469047619
2021,1,경남,1.788095238
2021,2,경남,1.621428571
2021,3,경남,1.334146341
2021,4,경남,1.45
2022,1,경남,1.79047619
2022,2,경남,1.673809524
2022,3,경남,1.402380952
2022,4,경남,1.438095238
2023,1,경남,1.528571429
2023,2,경남,1.578571429
2023,3,경남,1.23902439
2023,4,경남,1.464285714
2018,1,경북,2.425641026
2018,2,경북,2.071794872
2018,3,경북,1.612820513
2018,4,경북,1.738461538
2019,1,경북,2.21025641
2019,2,경북,1.887179487
2019,3,경북,1.553846154
2019,4,경북,1.769230769
2020,1,경북,2.112820513
2020,2,경북,2.035897436
2020,3,경북,1.497435897
2020,4,경북,1.933333333
2021,1,경북,2.269230769
2021,2,경북,1.851282051
2021,3,경북,1.407692308
2021,4,경북,1.866666667
2022,1,경북,2.243589744
2022,2,경북,1.964102564
2022,3,경북,1.471794872
2022,4,경북,1.812820513
2023,1,경북,1.958974359
2023,2,경북,1.78974359
2023,3,경북,1.382051282
2023,4,경북,1.856410256
2018,1,전북,1.83
2018,2,전북,1.98
2018,3,전북,1.73
2018,4,전북,1.506666667
2019,1,전북,1.793333333
2019,2,전북,1.689655172
2019,3,전북,1.583333333
2019,4,전북,1.468965517
2020,1,전북,1.756666667
2020,2,전북,1.95
2020,3,전북,1.673333333
2020,4,전북,1.533333333
2021,1,전북,1.82
2021,2,전북,1.89
2021,3,전북,1.503333333
2021,4,전북,1.52
2022,1,전북,1.76
2022,2,전북,1.87
2022,3,전북,1.74137931
2022,4,전북,1.536666667
2023,1,전북,1.656666667
2023,2,전북,1.826666667
2023,3,전북,1.455172414
2023,4,전북,1.643333333
2018,1,전남,2.933333333
2018,2,전남,2.583333333
2018,3,전남,2.507317073
2018,4,전남,2.507142857
2019,1,전남,3.173809524
2019,2,전남,2.419047619
2019,3,전남,2.245
2019,4,전남,2.548717949
2020,1,전남,2.946153846
2020,2,전남,2.661538462
2020,3,전남,2.269230769
2020,4,전남,2.621052632
2021,1,전남,2.848717949
2021,2,전남,2.525641026
2021,3,전남,2.174358974
2021,4,전남,2.412820513
2022,1,전남,2.971794872
2022,2,전남,2.446153846
2022,3,전남,2.412820513
2022,4,전남,2.615384615
2023,1,전남,2.7
2023,2,전남,2.458974359
2023,3,전남,1.969230769
2023,4,전남,2.469230769
2018,1,제주,4.116666667
2018,2,제주,3.090909091
2018,3,제주,3.391666667
2018,4,제주,3.566666667
2019,1,제주,3.808333333
2019,2,제주,2.65
2019,3,제주,3.058333333
2019,4,제주,3.766666667
2020,1,제주,3.925
2020,2,제주,3.241666667
2020,3,제주,3.241666667
2020,4,제주,3.583333333
2021,1,제주,4.225
2021,2,제주,3.258333333
2021,3,제주,3.216666667
2021,4,제주,3.966666667
2022,1,제주,4.075
2022,2,제주,3.175
2022,3,제주,3.525
2022,4,제주,4.075
2023,1,제주,3.75
2023,2,제주,3.466666667
2023,3,제주,3.141666667
2023,4,제주,3.95
